mass_A,,,mass_B,,,mass_C,,,mass_D,,
t,x,y,t,x,y,t,x,y,t,x,y
0,9.225,5.815,0,5.928,2.17,0,10.72,7.883,0,9.614,6.675
2.00E-02,9.388,6.04,0.02,6.051,2.293,0.02,10.68,7.965,0.02,9.532,6.655
4.00E-02,9.409,6.061,0.04,6.051,2.232,0.04,10.68,7.986,0.04,9.552,6.737
6.00E-02,9.47,6.02,0.06,6.071,2.232,0.06,10.64,8.109,0.06,9.532,6.819
8.00E-02,9.491,6.081,0.08,6.174,2.13,0.08,10.64,8.17,0.08,9.491,6.778
0.1,9.573,6.02,0.1,6.337,2.068,0.1,10.62,8.19,0.1,9.491,6.798
0.12,9.573,6.02,0.12,6.337,1.925,0.12,10.56,8.19,0.12,9.491,6.798
0.14,9.736,5.938,0.14,6.481,1.843,0.14,10.56,8.15,0.14,9.511,6.737
0.16,9.839,5.856,0.16,6.726,1.659,0.16,10.6,8.088,0.16,9.552,6.737
0.18,9.9,5.795,0.18,6.911,1.597,0.18,10.6,8.109,0.18,9.511,6.655
0.2,10.04,5.733,0.2,7.115,1.351,0.2,10.66,8.047,0.2,9.634,6.593
0.22,10.08,5.59,0.22,7.423,1.229,0.22,10.76,7.965,0.22,9.736,6.491
0.24,10.27,5.508,0.24,7.689,1.024,0.24,10.8,7.904,0.24,9.777,6.368
0.26,10.35,5.426,0.26,8.037,0.778,0.26,10.8,7.781,0.26,9.88,6.286
0.28,10.56,5.344,0.28,8.324,0.594,0.28,10.88,7.74,0.28,10.08,6.143
0.3,10.76,5.303,0.3,8.795,0.369,0.3,10.9,7.617,0.3,10.25,6
0.32,10.94,5.201,0.32,9.225,0.184,0.32,11.03,7.576,0.32,10.31,5.959
0.34,11.17,5.16,0.34,9.614,0,0.34,11.11,7.453,0.34,10.54,5.815
0.36,11.29,5.078,0.36,10.11,-6.14E-02,0.36,11.17,7.412,0.36,10.66,5.713
0.38,11.54,5.037,0.38,10.51,-0.246,0.38,11.33,7.351,0.38,10.88,5.631
0.4,11.74,4.955,0.4,11.05,-0.369,0.4,11.44,7.249,0.4,11.17,5.57
0.42,11.99,4.894,0.42,11.6,-0.369,0.42,11.5,7.187,0.42,11.29,5.467
0.44,12.21,4.873,0.44,12.05,-0.532,0.44,11.62,7.167,0.44,11.54,5.385
0.46,12.44,4.853,0.46,12.48,-0.532,0.46,11.8,7.126,0.46,11.7,5.344
0.48,12.54,4.791,0.48,12.85,-0.573,0.48,11.93,7.085,0.48,12.01,5.324
0.5,12.73,4.812,0.5,13.36,-0.573,0.5,12.05,7.044,0.5,12.17,5.324
0.52,12.97,4.771,0.52,13.75,-0.614,0.52,12.19,7.023,0.52,12.42,5.283
0.54,13.07,4.812,0.54,14.22,-0.532,0.54,12.32,7.044,0.54,12.6,5.283
0.56,13.32,4.73,0.56,14.59,-0.696,0.56,12.46,7.044,0.56,12.77,5.283
0.58,13.42,4.771,0.58,15.06,-0.737,0.58,12.58,7.044,0.58,13.07,5.283
0.6,13.63,4.689,0.6,15.31,-0.676,0.6,12.81,7.105,0.6,13.3,5.303
0.62,13.77,4.689,0.62,15.55,-0.573,0.62,12.99,7.187,0.62,13.52,5.283
0.64,13.89,4.75,0.64,15.8,-0.594,0.64,13.03,7.167,0.64,13.63,5.283
0.66,14.1,4.669,0.66,16.02,-0.41,0.66,13.14,7.208,0.66,13.91,5.242
0.68,14.04,4.791,0.68,16.15,-0.205,0.68,13.18,7.249,0.68,14.2,5.283
0.7,14.02,4.894,0.7,16.29,-0.184,0.7,13.24,7.208,0.7,14.08,5.713
0.72,14.1,4.955,0.72,16.29,0.205,0.72,13.36,7.33,0.72,14.24,5.733
0.74,14.2,5.037,0.74,16.37,0.307,0.74,13.59,7.433,0.74,14.26,5.836
0.76,14.08,5.14,0.76,16.39,0.43,0.76,13.65,7.494,0.76,14.34,5.897
0.78,14.06,5.18,0.78,16.39,0.553,0.78,13.69,7.535,0.78,14.45,5.938
0.8,14.06,5.18,0.8,16.41,0.573,0.8,13.79,7.494,0.8,14.53,6
0.82,14.04,5.18,0.82,16.43,0.594,0.82,13.75,7.556,0.82,14.57,5.979
0.84,14.1,5.221,0.84,16.37,0.491,0.84,13.79,7.556,0.84,14.63,6.02
0.86,14.04,5.16,0.86,16.15,0.676,0.86,13.81,7.556,0.86,14.61,6.02
0.88,14,5.16,0.88,16.1,0.655,0.88,13.83,7.556,0.88,14.59,6.02
0.9,13.93,5.201,0.9,16.04,0.614,0.9,13.83,7.556,0.9,14.57,6.02
0.92,13.89,5.18,0.92,15.94,0.45,0.92,13.77,7.474,0.92,14.51,5.918
0.94,13.77,5.14,0.94,15.7,0.205,0.94,13.75,7.535,0.94,14.53,5.938
0.96,13.71,5.099,0.96,15.59,0.369,0.96,13.73,7.474,0.96,14.49,5.897
0.98,13.63,5.058,0.98,15.41,0.143,0.98,13.77,7.433,0.98,14.34,5.856
1,13.52,5.037,1,15.18,6.14E-02,1,13.65,7.453,1,14.28,5.795
1.02,13.4,4.976,1.02,14.88,-0.123,1.02,13.55,7.351,1.02,14.16,5.733
1.04,13.24,4.894,1.04,14.47,-0.246,1.04,13.52,7.392,1.04,14,5.692
1.06,13.07,4.832,1.06,14.22,-0.266,1.06,13.44,7.31,1.06,13.89,5.57
1.08,12.91,4.75,1.08,13.77,-0.287,1.08,13.44,7.269,1.08,13.75,5.467
1.1,12.66,4.75,1.1,13.36,-0.348,1.1,13.4,7.228,1.1,13.55,5.426
1.12,12.46,4.71,1.12,12.89,-0.389,1.12,13.24,7.208,1.12,13.3,5.385
1.14,12.23,4.73,1.14,12.42,-0.389,1.14,13.07,7.167,1.14,13.16,5.344
1.16,12.01,4.71,1.16,11.89,-0.45,1.16,12.99,7.105,1.16,12.91,5.324
1.18,11.83,4.791,1.18,11.37,-0.389,1.18,12.87,7.126,1.18,12.73,5.324
1.2,11.58,4.853,1.2,10.88,-0.287,1.2,12.81,7.044,1.2,12.58,5.283
1.22,11.33,4.812,1.22,10.39,-0.225,1.22,12.62,7.064,1.22,12.32,5.365
1.24,11.15,4.894,1.24,9.9,-0.102,1.24,12.5,7.044,1.24,12.13,5.344
1.26,10.92,5.058,1.26,9.429,-2.05E-02,1.26,12.46,7.003,1.26,11.87,5.385
1.28,10.76,5.14,1.28,8.979,0.184,1.28,12.36,7.044,1.28,11.64,5.467
1.3,10.58,5.201,1.3,8.528,0.246,1.3,12.17,7.064,1.3,11.48,5.488
1.32,10.35,5.262,1.32,8.057,0.491,1.32,12.07,7.064,1.32,11.27,5.57
1.34,10.21,5.283,1.34,7.709,0.778,1.34,11.93,7.105,1.34,11.11,5.631
1.36,10.02,5.385,1.36,7.32,0.84,1.36,11.83,7.167,1.36,10.92,5.754
1.38,9.921,5.447,1.38,6.993,0.962,1.38,11.68,7.187,1.38,10.78,5.815
1.4,9.839,5.549,1.4,6.685,1.147,1.4,11.58,7.126,1.4,10.66,5.918
1.42,9.798,5.59,1.42,6.419,1.249,1.42,11.46,7.392,1.42,10.49,6.04
1.44,9.757,5.754,1.44,6.235,1.536,1.44,11.19,7.515,1.44,10.35,6.122
1.46,9.695,5.877,1.46,6.051,1.536,1.46,11.11,7.597,1.46,10.19,6.266
1.48,9.593,6,1.48,5.846,1.761,1.48,10.99,7.658,1.48,10.06,6.368
1.5,9.532,6.061,1.5,5.764,1.781,1.5,10.88,7.699,1.5,9.9,6.409
1.52,9.614,6.102,1.52,5.662,1.863,1.52,10.86,7.76,1.52,9.777,6.491
1.54,9.593,6.081,1.54,5.866,2.13,1.54,10.94,7.822,1.54,9.675,6.552
1.56,9.429,5.979,1.56,5.846,2.15,1.56,10.94,7.924,1.56,9.573,6.614
1.58,9.491,6.02,1.58,5.907,2.17,1.58,10.84,8.068,1.58,9.552,6.675
1.6,9.552,6.04,1.6,6.051,2.17,1.6,10.76,8.027,1.6,9.429,6.757
1.62,9.634,6.061,1.62,6.153,2.13,1.62,10.76,8.068,1.62,9.45,6.819
1.64,9.634,6.02,1.64,6.358,2.068,1.64,10.72,8.068,1.64,9.45,6.819
1.66,9.757,5.918,1.66,6.337,1.945,1.66,10.66,8.109,1.66,9.409,6.798
1.68,9.798,5.938,1.68,6.522,1.843,1.68,10.68,8.047,1.68,9.47,6.798